,index,media_id,img_url,alt_text
54,88,3_1454089702378807296,https://pbs.twimg.com/media/FC324VXXoAA2_88.jpg,A thin robot with a base body and screen for a head and two lights on a screen like eyes.
55,89,3_1453823344004849668,https://pbs.twimg.com/media/FC0EoPGUYAQ1G5-.jpg,Art poster for a futuristic museum exhibition with imagery of mining an asteroid
56,90,3_1450942552329359371,https://pbs.twimg.com/media/FCLIkF0XEAsX-Bw.jpg,Rendering of a digital screen display with visitors in a museum.
57,91,3_1450930446926233608,https://pbs.twimg.com/media/FCK9jdrWQAgAdJR.jpg,"View of the Smithsonian Arts and Industries Building, an ornate red brick building."
58,92,3_1448395094298595328,https://pbs.twimg.com/media/FBm7qhIWEAAUtuw.jpg,"Portrait image of a vertical robot outside on a deck, it has a slim body and a screen for a head with two glowing eyes."
59,93,3_1445378995281924107,https://pbs.twimg.com/media/FA8EicuXEAsqZE8.jpg,"Rendering of a museum exhibit, with large letters spelling out “futures”"
60,94,3_1440404892632244229,https://pbs.twimg.com/media/E_1YnkYUYAUL2Pe.jpg,View of a flying car model on a display pavilion.
61,95,3_1440404878841430028,https://pbs.twimg.com/media/E_1YmxAVQAwS-s9.jpg,Rendering of a flying car model over a cityscape.
62,96,3_1426950953551421443,https://pbs.twimg.com/media/E82MVPpWYAMAmn7.jpg,"Portrait of Smithsonian Secretary Lonnie Bunch on the field of the Nationals Stadium, holding a baseball."
63,97,3_1426948515285118976,https://pbs.twimg.com/media/E82KHUZXMAAvqwq.jpg,Smithsonian Secretary throws out the first pitch at the Washington Nationals game.
64,98,3_1426935514544881671,https://pbs.twimg.com/media/E81-Sk3WQAc88O6.jpg,Three women stand at a tent booth at a baseball game.
65,99,3_1425136808585662464,https://pbs.twimg.com/media/E8caYHAVEAANfym.jpg,"Screenshot of the search engine page for bing, featuring an image of the Smithsonian Arts and Industries Building, an ornate brick building."
66,100,3_1425097826527236101,https://pbs.twimg.com/media/E8b27DhWUAU4iUp.jpg,Archival image of a large building under construction with scaffolding. The U.S. Capitol is visible in the background on the left. 
67,101,3_1425096954422382596,https://pbs.twimg.com/media/E8b2ISrWUAQaTlW.jpg,"Visitors are outside the North Entrance to the United States National Museum Building, now known as the Arts & Industries Building, at the turn of the century. The brick building is ornate with decorative brick details. Women are wearing hats and long skirts."
68,102,3_1422616392990298112,https://pbs.twimg.com/media/E74mEnPVkAAqeiO.png,"Portrait of Octavia Butler, three-quarter view profile. Artistic rendering with minimal color palette and abstract patterns all over the surface."
